epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,444.65,2.94184,4.95585,4.21847,0,0,0,0,1.955,5.13091,4.12331,0.00012973,0.00012973,0.00012973
2,876.085,2.86521,4.87273,4.14402,0,0,0,0,1.86426,5.14025,3.88001,0.000260459,0.000260459,0.000260459
3,1358.19,2.91112,4.82517,4.05654,0.00041,0.3,0.0054,0.00147,1.8106,5.10592,3.26447,0.000388548,0.000388548,0.000388548
4,1819.34,2.86122,4.67523,3.87937,0.90821,0.00962,0.01647,0.00519,1.85282,5.70026,3.01658,0.00038812,0.00038812,0.00038812
5,2245.2,2.75271,4.54268,3.63675,0.00481,0.82141,0.02903,0.00891,1.83854,6.21616,3.43911,0.00038416,0.00038416,0.00038416
6,2712.7,2.50823,4.34323,3.3705,0.4208,0.23316,0.0969,0.04886,1.79318,9.22077,2.74209,0.0003802,0.0003802,0.0003802
7,3122.52,2.33402,4.07936,3.14514,0.35746,0.27251,0.08487,0.05379,1.48315,6.0177,2.51079,0.00037624,0.00037624,0.00037624
8,3509.52,2.11211,3.81135,2.87038,0.2209,0.42643,0.15962,0.08461,1.49564,4.87986,2.42355,0.00037228,0.00037228,0.00037228
9,3897.33,1.90557,3.57771,2.70159,0.18191,0.47833,0.27368,0.16407,1.24137,4.14707,2.17487,0.00036832,0.00036832,0.00036832
10,4248.91,1.77101,3.39755,2.50277,0.33346,0.56184,0.26808,0.1902,1.11469,3.76141,1.99418,0.00036436,0.00036436,0.00036436
11,4595.82,1.66823,3.23781,2.37114,0.23846,0.4441,0.33415,0.24876,0.92321,3.13363,1.80272,0.0003604,0.0003604,0.0003604
12,4942.14,1.47912,3.03597,2.23456,0.20138,0.69618,0.35928,0.27396,0.82484,3.24412,1.6885,0.00035644,0.00035644,0.00035644
13,5287.58,1.38049,2.88967,2.09675,0.19629,0.61343,0.35436,0.27071,0.81547,3.10433,1.6192,0.00035248,0.00035248,0.00035248
14,5632.14,1.32027,2.83764,2.03599,0.22698,0.66713,0.35122,0.27736,0.78407,3.31003,1.65543,0.00034852,0.00034852,0.00034852
15,5977.67,1.27508,2.78953,1.96965,0.33774,0.61054,0.38884,0.31135,0.75726,2.89167,1.57148,0.00034456,0.00034456,0.00034456
